Dataset,Algorithm,Support,Run-time (s),Memory (KiB),Nb Motifs,Supports motifs,Motifs détectés
Chickenpox,GA-GRAANK,0.5,4.052207946777344,79.6,2,"[0.531, 0.514]","[['BUDAPEST+', 'BARANYA+', 'BACS+', 'BEKES+'], ['BUDAPEST+', 'BACS+', 'BEKES+', 'FEJER+']]"
Chickenpox,PRS-GRAANK,0.5,1.241295337677002,51.1,3,"[0.501, 0.511, 0.504]","[['BUDAPEST+', 'BACS+', 'BORSOD+', 'HAJDU+', 'HEVES+'], ['BUDAPEST+', 'BARANYA+', 'BACS+', 'BORSOD+', 'HAJDU+'], ['BUDAPEST+', 'BARANYA+', 'BACS+', 'BEKES+', 'PEST+']]"
Chickenpox,GA-GRAANK,0.6,7.579994440078735,80.0,1,[0.633],"[['BUDAPEST+', 'BARANYA+', 'BACS+']]"
Chickenpox,PSO-GRAANK,0.6,6.674881219863892,68.7,3,"[0.634, 0.629, 0.614]","[['BUDAPEST+', 'BACS+', 'BORSOD+'], ['BUDAPEST+', 'BARANYA+', 'BORSOD+'], ['BUDAPEST+', 'BEKES+', 'BORSOD+']]"
Chickenpox,PRS-GRAANK,0.6,0.8318746089935303,48.9,3,"[0.6, 0.634, 0.612]","[['BUDAPEST+', 'CSONGRAD+', 'HAJDU+'], ['BUDAPEST+', 'BACS+', 'BORSOD+'], ['BUDAPEST+', 'BEKES+', 'GYOR+']]"
Chickenpox,PRS-GRAANK,0.7,0.8390960693359375,45.7,1,[0.757],"[['BUDAPEST+', 'BARANYA+']]"
Chickenpox,GA-GRAANK,0.7,6.128291130065918,78.8,1,[0.757],"[['BUDAPEST+', 'BARANYA+']]"
Chickenpox,PSO-GRAANK,0.7,3.649524211883545,66.0,2,"[0.755, 0.728]","[['BUDAPEST+', 'BACS+'], ['BUDAPEST+', 'BEKES+']]"
Chickenpox,PRS-GRAANK,0.8,0.5822875499725342,50.7,1,[0.802],"[['BUDAPEST+', 'PEST+']]"
Chickenpox,GA-GRAANK,0.8,7.747452735900879,79.5,1,[0.802],"[['BUDAPEST+', 'PEST+']]"
Chickenpox,PSO-GRAANK,0.8,5.660721302032471,68.6,1,[0.802],"[['BUDAPEST+', 'PEST+']]"
Chickenpox,PRS-GRAANK,0.9,0.6441903114318848,49.8,0,[],[]
Chickenpox,PSO-GRAANK,0.9,3.6266465187072754,69.7,0,[],[]
Chickenpox,GA-GRAANK,0.9,5.741604328155518,76.9,0,[],[]
HCV,GA-GRAANK,0.3,1.5276243686676025,58.5,2,"[0.44, 0.492]","[['Age+', 'ALB+'], ['Age+', 'CHE-']]"
HCV,PSO-GRAANK,0.3,2.1244935989379883,49.3,3,"[0.44, 0.326, 0.492]","[['Age+', 'ALB+'], ['Age+', 'ALP+', 'CHOL+'], ['Age+', 'CHE-']]"
HCV,PRS-GRAANK,0.3,0.6277949810028076,42.0,2,"[0.44, 0.302]","[['Age+', 'ALB+'], ['Age+', 'ALB-', 'CREA-']]"
HCV,GA-GRAANK,0.34,1.2419476509094238,62.2,1,[0.44],"[['Age+', 'ALB+']]"
HCV,PRS-GRAANK,0.34,0.43733906745910645,40.4,1,[0.473],"[['Age+', 'ALT+']]"
HCV,PSO-GRAANK,0.34,1.3207674026489258,48.5,2,"[0.44, 0.544]","[['Age+', 'ALB+'], ['Age+', 'ALP+']]"
HCV,PSO-GRAANK,0.38,1.281874656677246,47.2,2,"[0.473, 0.544]","[['Age+', 'ALT+'], ['Age+', 'ALP+']]"
HCV,PRS-GRAANK,0.38,0.5282416343688965,40.4,2,"[0.44, 0.523]","[['Age+', 'ALB+'], ['Age+', 'ALB-']]"
HCV,GA-GRAANK,0.38,1.1804389953613281,59.9,3,"[0.473, 0.523, 0.468]","[['Age+', 'ALT+'], ['Age+', 'ALB-'], ['Age+', 'BIL+']]"
HCV,GA-GRAANK,0.4,1.311359167098999,62.8,2,"[0.544, 0.523]","[['Age+', 'ALP+'], ['Age+', 'ALB-']]"
HCV,PRS-GRAANK,0.4,0.5666441917419434,41.0,2,"[0.44, 0.523]","[['Age+', 'ALB+'], ['Age+', 'ALB-']]"
HCV,PSO-GRAANK,0.4,1.1516053676605225,47.3,1,[0.544],"[['Age+', 'ALP+']]"
HCV,PSO-GRAANK,0.5,1.5320203304290771,49.2,3,"[0.544, 0.523, 0.549]","[['Age+', 'ALP+'], ['Age+', 'ALB-'], ['Age+', 'CHOL+']]"
HCV,GA-GRAANK,0.5,1.2211203575134277,59.0,2,"[0.523, 0.544]","[['Age+', 'ALB-'], ['Age+', 'ALP+']]"
HCV,PRS-GRAANK,0.5,0.5229365825653076,39.7,1,[0.549],"[['Age+', 'CHOL+']]"
HCV,GA-GRAANK,0.6,1.5252447128295898,58.2,0,[],[]
HCV,PRS-GRAANK,0.6,0.5411388874053955,39.5,0,[],[]
HCV,PSO-GRAANK,0.6,1.290374517440796,48.7,0,[],[]
HCV,GA-GRAANK,0.7,1.2471020221710205,63.5,0,[],[]
HCV,PSO-GRAANK,0.7,1.6412553787231445,48.6,0,[],[]
HCV,PRS-GRAANK,0.7,0.5444202423095703,41.0,0,[],[]
HCV,PRS-GRAANK,0.8,0.48699378967285156,40.5,0,[],[]
HCV,GA-GRAANK,0.8,1.02455472946167,63.1,0,[],[]
HCV,PSO-GRAANK,0.8,1.0757489204406738,48.9,0,[],[]
HCV,GA-GRAANK,0.9,1.1367683410644531,58.2,0,[],[]
HCV,PSO-GRAANK,0.9,1.8977022171020508,48.1,0,[],[]
HCV,PRS-GRAANK,0.9,0.7483127117156982,42.0,0,[],[]
Air Quality,PSO-GRAANK,0.3,1237.4788038730621,69.0,4,"[0.424, 0.314, 0.457, 0.363]","[['CO(GT)+', 'PT08.S1(CO)+', 'C6H6(GT)+', 'NOx(GT)+', 'PT08.S4(NO2)+'], ['CO(GT)+', 'PT08.S1(CO)+', 'PT08.S4(NO2)+', 'PT08.S5(O3)+', 'T+'], ['CO(GT)+', 'PT08.S1(CO)+', 'C6H6(GT)+', 'PT08.S2(NMHC)+', 'PT08.S3(NOx)-', 'NO2(GT)+', 'PT08.S5(O3)+'], ['CO(GT)+', 'PT08.S1(CO)+', 'PT08.S3(NOx)-', 'NO2(GT)+', 'PT08.S4(NO2)+']]"
Air Quality,PRS-GRAANK,0.3,162.81557607650757,49.3,4,"[0.432, 0.507, 0.396, 0.392]","[['CO(GT)+', 'PT08.S2(NMHC)+', 'NO2(GT)+', 'PT08.S4(NO2)+'], ['CO(GT)+', 'PT08.S4(NO2)+', 'PT08.S5(O3)+'], ['CO(GT)+', 'PT08.S1(CO)+', 'NO2(GT)+', 'PT08.S4(NO2)+', 'PT08.S5(O3)+'], ['CO(GT)+', 'PT08.S1(CO)+', 'C6H6(GT)+', 'NO2(GT)+', 'PT08.S4(NO2)+', 'PT08.S5(O3)+']]"
Air Quality,GA-GRAANK,0.3,884.1647229194641,66.7,1,[0.447],"[['CO(GT)+', 'NO2(GT)+', 'PT08.S4(NO2)+']]"
Air Quality,PRS-GRAANK,0.34,137.83262395858765,43.3,1,[0.537],"[['CO(GT)+', 'C6H6(GT)+', 'PT08.S2(NMHC)+', 'NO2(GT)+', 'PT08.S5(O3)+']]"
Air Quality,PSO-GRAANK,0.34,875.4405343532562,62.0,1,[0.392],"[['CO(GT)+', 'PT08.S1(CO)+', 'C6H6(GT)+', 'NO2(GT)+', 'PT08.S4(NO2)+', 'PT08.S5(O3)+']]"
